codigo_municipio,anio,num_viviendas,num_empresas,isla,municipio,poblacion_total,edad_media,pct_extranjeros,pct_mayores_65,indice_dependencia,superficie_km2,poblacion_0_14,poblacion_15_64,poblacion_65_mas,poblacion_activa_total,asalariados_total,salario_medio_total,poblacion_activa_hombres,poblacion_activa_mujeres,asalariados_hombres,asalariados_mujeres
38026,2013,2.0,3731.0,6,58,42434.0,43.5373,4.6873,17.8465,43.888,20688.7,5370.0,29491.0,7573.0,21221,15034,84.91,10874,10347,7834,7200
38026,2014,8.0,3774.0,6,58,42434.0,43.5373,4.6873,17.8465,43.888,20688.7,5370.0,29491.0,7573.0,21221,15034,84.91,10874,10347,7834,7200
38026,2015,16.0,1887.0,6,58,42434.0,43.5373,4.6873,17.8465,43.888,20688.7,5370.0,29491.0,7573.0,21221,15034,84.91,10874,10347,7834,7200
38027,2012,12.0,706.0,4,59,7901.0,45.2793,13.6438,20.5037,47.1596,13594.0,912.0,5369.0,1620.0,3813,2380,77.28,1965,1848,1200,1180
38027,2013,12.0,682.0,4,59,7901.0,45.2793,13.6438,20.5037,47.1596,13594.0,912.0,5369.0,1620.0,3813,2380,77.28,1965,1848,1200,1180
38027,2014,6.0,685.0,4,59,7901.0,45.2793,13.6438,20.5037,47.1596,13594.0,912.0,5369.0,1620.0,3813,2380,77.28,1965,1848,1200,1180
38027,2015,4.0,347.0,4,59,7901.0,45.2793,13.6438,20.5037,47.1596,13594.0,912.0,5369.0,1620.0,3813,2380,77.28,1965,1848,1200,1180
38028,2012,16.0,4950.0,6,60,30349.0,48.2147,17.3021,26.3369,56.3737,882.59,2948.0,19408.0,7993.0,13454,8804,79.64,6793,6661,4496,4308
38028,2013,2.0,4885.0,6,60,30349.0,48.2147,17.3021,26.3369,56.3737,882.59,2948.0,19408.0,7993.0,13454,8804,79.64,6793,6661,4496,4308
38028,2014,0.0,4882.0,6,60,30349.0,48.2147,17.3021,26.3369,56.3737,882.59,2948.0,19408.0,7993.0,13454,8804,79.64,6793,6661,4496,4308
38028,2015,2.0,2403.0,6,60,30349.0,48.2147,17.3021,26.3369,56.3737,882.59,2948.0,19408.0,7993.0,13454,8804,79.64,6793,6661,4496,4308
38029,2012,20.0,132.0,4,61,2293.0,46.3461,28.2163,22.6777,51.6534,3080.58,261.0,1512.0,520.0,981,589,73.3,495,486,286,303
38029,2013,16.0,109.0,4,61,2293.0,46.3461,28.2163,22.6777,51.6534,3080.58,261.0,1512.0,520.0,981,589,73.3,495,486,286,303
38029,2014,10.0,120.0,4,61,2293.0,46.3461,28.2163,22.6777,51.6534,3080.58,261.0,1512.0,520.0,981,589,73.3,495,486,286,303
38029,2015,12.0,64.0,4,61,2293.0,46.3461,28.2163,22.6777,51.6534,3080.58,261.0,1512.0,520.0,981,589,73.3,495,486,286,303
38030,2012,0.0,233.0,4,62,2547.0,46.6743,9.6584,23.832,55.1157,3505.04,298.0,1642.0,607.0,1263,895,81.16,666,597,453,442
38030,2013,2.0,204.0,4,62,2547.0,46.6743,9.6584,23.832,55.1157,3505.04,298.0,1642.0,607.0,1263,895,81.16,666,597,453,442
38030,2014,0.0,183.0,4,62,2547.0,46.6743,9.6584,23.832,55.1157,3505.04,298.0,1642.0,607.0,1263,895,81.16,666,597,453,442
38030,2015,6.0,92.0,4,62,2547.0,46.6743,9.6584,23.832,55.1157,3505.04,298.0,1642.0,607.0,1263,895,81.16,666,597,453,442
38031,2012,6.0,3020.0,6,63,37076.0,44.0378,5.3431,18.1951,43.8169,5646.81,4550.0,25780.0,6746.0,19026,13425,84.88,9713,9314,6919,6506
38031,2013,4.0,2977.0,6,63,37076.0,44.0378,5.3431,18.1951,43.8169,5646.81,4550.0,25780.0,6746.0,19026,13425,84.88,9713,9314,6919,6506
38031,2014,0.0,3077.0,6,63,37076.0,44.0378,5.3431,18.1951,43.8169,5646.81,4550.0,25780.0,6746.0,19026,13425,84.88,9713,9314,6919,6506
38031,2015,4.0,1533.0,6,63,37076.0,44.0378,5.3431,18.1951,43.8169,5646.81,4550.0,25780.0,6746.0,19026,13425,84.88,9713,9314,6919,6506
38032,2012,40.0,1522.0,6,64,17750.0,43.2258,6.0056,15.3915,38.8889,3931.15,2238.0,12780.0,2732.0,9187,6592,81.56,4749,4438,3347,3245
38032,2013,58.0,1556.0,6,64,17750.0,43.2258,6.0056,15.3915,38.8889,3931.15,2238.0,12780.0,2732.0,9187,6592,81.56,4749,4438,3347,3245
38032,2014,12.0,1549.0,6,64,17750.0,43.2258,6.0056,15.3915,38.8889,3931.15,2238.0,12780.0,2732.0,9187,6592,81.56,4749,4438,3347,3245
38032,2015,8.0,812.0,6,64,17750.0,43.2258,6.0056,15.3915,38.8889,3931.15,2238.0,12780.0,2732.0,9187,6592,81.56,4749,4438,3347,3245
38033,2012,8.0,344.0,4,65,4170.0,50.1573,6.4748,28.8969,60.2613,4287.29,363.0,2602.0,1205.0,1956,1341,79.68,1040,916,690,651
38033,2013,0.0,322.0,4,65,4170.0,50.1573,6.4748,28.8969,60.2613,4287.29,363.0,2602.0,1205.0,1956,1341,79.68,1040,916,690,651
38033,2014,4.0,369.0,4,65,4170.0,50.1573,6.4748,28.8969,60.2613,4287.29,363.0,2602.0,1205.0,1956,1341,79.68,1040,916,690,651
38033,2015,4.0,187.0,4,65,4170.0,50.1573,6.4748,28.8969,60.2613,4287.29,363.0,2602.0,1205.0,1956,1341,79.68,1040,916,690,651
38034,2012,4.0,296.0,6,66,4864.0,45.3997,3.8651,20.9293,49.2482,2060.52,587.0,3259.0,1018.0,2423,1762,86.3,1268,1156,930,832
38034,2013,2.0,311.0,6,66,4864.0,45.3997,3.8651,20.9293,49.2482,2060.52,587.0,3259.0,1018.0,2423,1762,86.3,1268,1156,930,832
38034,2014,0.0,304.0,6,66,4864.0,45.3997,3.8651,20.9293,49.2482,2060.52,587.0,3259.0,1018.0,2423,1762,86.3,1268,1156,930,832
38034,2015,2.0,148.0,6,66,4864.0,45.3997,3.8651,20.9293,49.2482,2060.52,587.0,3259.0,1018.0,2423,1762,86.3,1268,1156,930,832
38035,2012,12.0,2190.0,6,67,21915.0,40.4267,35.8567,12.9272,38.764,4203.66,3289.0,15793.0,2833.0,11432,8444,81.61,5793,5639,4210,4234
38035,2013,4.0,2208.0,6,67,21915.0,40.4267,35.8567,12.9272,38.764,4203.66,3289.0,15793.0,2833.0,11432,8444,81.61,5793,5639,4210,4234
38035,2014,4.0,2308.0,6,67,21915.0,40.4267,35.8567,12.9272,38.764,4203.66,3289.0,15793.0,2833.0,11432,8444,81.61,5793,5639,4210,4234
38035,2015,12.0,1213.0,6,67,21915.0,40.4267,35.8567,12.9272,38.764,4203.66,3289.0,15793.0,2833.0,11432,8444,81.61,5793,5639,4210,4234
38036,2012,2.0,1131.0,3,68,9342.0,44.0869,11.0148,18.3044,44.1,11313.4,1149.0,6483.0,1710.0,4723,3699,87.38,2381,2342,1858,1841
38036,2013,0.0,1048.0,3,68,9342.0,44.0869,11.0148,18.3044,44.1,11313.4,1149.0,6483.0,1710.0,4723,3699,87.38,2381,2342,1858,1841
38036,2014,0.0,1018.0,3,68,9342.0,44.0869,11.0148,18.3044,44.1,11313.4,1149.0,6483.0,1710.0,4723,3699,87.38,2381,2342,1858,1841
38036,2015,4.0,496.0,3,68,9342.0,44.0869,11.0148,18.3044,44.1,11313.4,1149.0,6483.0,1710.0,4723,3699,87.38,2381,2342,1858,1841
38037,2012,12.0,1906.0,4,69,15361.0,46.7686,6.5425,22.7459,47.8014,4341.21,1474.0,10393.0,3494.0,7384,5443,87.8,3706,3678,2730,2713
38037,2013,4.0,1812.0,4,69,15361.0,46.7686,6.5425,22.7459,47.8014,4341.21,1474.0,10393.0,3494.0,7384,5443,87.8,3706,3678,2730,2713
